date		
1989	147342000	147342000
1990	147969000 147969000
1991	148394000	148394000
1992	148538000	148538000
1993	148459000	148459000
1994	148408000	148408000
1995	148376000	148376000
1996	148160000	148160000
1997	147915000 147915000
1998	147671000	147671000
1999	147215000 147215000
2000	146597000	146597000
2001	145976000	145976000
2002	145306496	145306496
